id,color,color_hex
4E1500,Alizarin Crimson,#4E1500
DB0000,Bright Red,#DB0000
FFEC00,Cadmium Yellow,#FFEC00
102E3C,"Phthalo Green
",#102E3C
021E44,Prussian Blue,#021E44
0A3410,Sap Green,#0A3410
FFFFFF,Titanium White,#FFFFFF
221B15,Van Dyke Brown,#221B15
000000,Black Gesso,#000000
8A3324,Burnt Umber,#8A3324
FFB800,Indian Yellow,#FFB800
0C0040,Phthalo Blue,#0C0040
C79B00,Yellow Ochre,#C79B00
000000,Liquid Black,#000000
000000,"Midnight Black

",#000000
FFFFFF,Liquid Clear,#FFFFFF
5F2E1F,Dark Sienna,#5F2E1F
CD5C5C,Indian Red,#CD5C5C
