color_id,episode_id
4E1500,S01E01
DB0000,S01E01
FFEC00,S01E01
102E3C,S01E01
021E44,S01E01
0A3410,S01E01
FFFFFF,S01E01
221B15,S01E01
4E1500,S01E02
DB0000,S01E02
FFEC00,S01E02
102E3C,S01E02
021E44,S01E02
0A3410,S01E02
FFFFFF,S01E02
221B15,S01E02
4E1500,S01E03
000000,S01E03
DB0000,S01E03
FFEC00,S01E03
102E3C,S01E03
021E44,S01E03
0A3410,S01E03
FFFFFF,S01E03
221B15,S01E03
021E44,S01E04
FFFFFF,S01E04
221B15,S01E04
4E1500,S01E05
DB0000,S01E05
FFEC00,S01E05
102E3C,S01E05
021E44,S01E05
0A3410,S01E05
FFFFFF,S01E05
221B15,S01E05
000000,S01E06
021E44,S01E06
FFFFFF,S01E06
221B15,S01E06
4E1500,S01E07
DB0000,S01E07
FFEC00,S01E07
102E3C,S01E07
021E44,S01E07
0A3410,S01E07
FFFFFF,S01E07
221B15,S01E07
4E1500,S01E08
DB0000,S01E08
FFEC00,S01E08
102E3C,S01E08
021E44,S01E08
0A3410,S01E08
FFFFFF,S01E08
221B15,S01E08
4E1500,S01E09
DB0000,S01E09
FFEC00,S01E09
102E3C,S01E09
021E44,S01E09
0A3410,S01E09
FFFFFF,S01E09
221B15,S01E09
4E1500,S01E10
DB0000,S01E10
FFEC00,S01E10
102E3C,S01E10
021E44,S01E10
0A3410,S01E10
FFFFFF,S01E10
221B15,S01E10
4E1500,S01E11
DB0000,S01E11
FFEC00,S01E11
102E3C,S01E11
021E44,S01E11
0A3410,S01E11
FFFFFF,S01E11
221B15,S01E11
4E1500,S01E12
021E44,S01E12
FFFFFF,S01E12
221B15,S01E12
4E1500,S01E13
DB0000,S01E13
FFEC00,S01E13
102E3C,S01E13
021E44,S01E13
0A3410,S01E13
FFFFFF,S01E13
221B15,S01E13
4E1500,S02E01
DB0000,S02E01
8A3324,S02E01
FFEC00,S02E01
FFB800,S02E01
0C0040,S02E01
102E3C,S02E01
021E44,S02E01
0A3410,S02E01
FFFFFF,S02E01
221B15,S02E01
C79B00,S02E01
4E1500,S02E02
DB0000,S02E02
8A3324,S02E02
FFEC00,S02E02
FFB800,S02E02
0C0040,S02E02
102E3C,S02E02
021E44,S02E02
0A3410,S02E02
FFFFFF,S02E02
221B15,S02E02
C79B00,S02E02
4E1500,S02E03
000000,S02E03
DB0000,S02E03
8A3324,S02E03
FFEC00,S02E03
FFB800,S02E03
0C0040,S02E03
102E3C,S02E03
021E44,S02E03
0A3410,S02E03
FFFFFF,S02E03
221B15,S02E03
C79B00,S02E03
021E44,S02E04
FFFFFF,S02E04
221B15,S02E04
4E1500,S02E05
DB0000,S02E05
8A3324,S02E05
FFEC00,S02E05
0C0040,S02E05
102E3C,S02E05
021E44,S02E05
0A3410,S02E05
FFFFFF,S02E05
221B15,S02E05
C79B00,S02E05
4E1500,S02E06
DB0000,S02E06
8A3324,S02E06
FFEC00,S02E06
0C0040,S02E06
102E3C,S02E06
021E44,S02E06
0A3410,S02E06
FFFFFF,S02E06
221B15,S02E06
C79B00,S02E06
4E1500,S02E07
DB0000,S02E07
8A3324,S02E07
FFEC00,S02E07
0C0040,S02E07
102E3C,S02E07
021E44,S02E07
0A3410,S02E07
FFFFFF,S02E07
221B15,S02E07
C79B00,S02E07
4E1500,S02E08
DB0000,S02E08
8A3324,S02E08
FFEC00,S02E08
FFB800,S02E08
0C0040,S02E08
102E3C,S02E08
021E44,S02E08
0A3410,S02E08
FFFFFF,S02E08
221B15,S02E08
C79B00,S02E08
4E1500,S02E09
000000,S02E09
DB0000,S02E09
FFEC00,S02E09
FFB800,S02E09
0C0040,S02E09
102E3C,S02E09
021E44,S02E09
0A3410,S02E09
FFFFFF,S02E09
221B15,S02E09
C79B00,S02E09
4E1500,S02E10
DB0000,S02E10
8A3324,S02E10
FFEC00,S02E10
FFB800,S02E10
0C0040,S02E10
102E3C,S02E10
021E44,S02E10
0A3410,S02E10
FFFFFF,S02E10
221B15,S02E10
C79B00,S02E10
4E1500,S02E11
000000,S02E11
8A3324,S02E11
FFEC00,S02E11
FFB800,S02E11
0C0040,S02E11
102E3C,S02E11
021E44,S02E11
0A3410,S02E11
FFFFFF,S02E11
221B15,S02E11
C79B00,S02E11
4E1500,S02E12
DB0000,S02E12
