episode_id,subject_id
S17E08,APPLE_FRAME
S08E13,AURORA_BOREALIS
S29E12,AURORA_BOREALIS
S03E11,BARN
S05E10,BARN
S05E13,BARN
S06E10,BARN
S07E07,BARN
S11E06,BARN
S11E09,BARN
S11E12,BARN
S15E03,BARN
S16E09,BARN
S19E12,BARN
S20E02,BARN
S22E05,BARN
S28E02,BARN
S28E07,BARN
S29E05,BARN
S31E12,BARN
S01E09,BEACH
S04E05,BEACH
S09E02,BEACH
S09E06,BEACH
S09E12,BEACH
S10E10,BEACH
S11E10,BEACH
S12E05,BEACH
S12E09,BEACH
S14E07,BEACH
S15E06,BEACH
S16E08,BEACH
S17E04,BEACH
S18E09,BEACH
S19E09,BEACH
S20E06,BEACH
S21E08,BEACH
S21E13,BEACH
S22E11,BEACH
S23E12,BEACH
S24E10,BEACH
S26E11,BEACH
S27E09,BEACH
S28E11,BEACH
S29E09,BEACH
S30E10,BEACH
S31E10,BEACH
S07E12,BOAT
S24E10,BOAT
S03E06,BRIDGE
S10E04,BRIDGE
S17E08,BRIDGE
S19E07,BRIDGE
S20E10,BRIDGE
S24E12,BRIDGE
S31E07,BRIDGE
S17E08,BUILDING
S01E01,BUSHES
S01E04,BUSHES
S01E08,BUSHES
S01E10,BUSHES
S01E13,BUSHES
S02E01,BUSHES
S02E04,BUSHES
S02E05,BUSHES
S02E06,BUSHES
S02E08,BUSHES
S02E11,BUSHES
S02E13,BUSHES
S03E01,BUSHES
S03E09,BUSHES
S03E10,BUSHES
S03E12,BUSHES
S04E02,BUSHES
S04E03,BUSHES
S04E06,BUSHES
S04E09,BUSHES
S04E10,BUSHES
S05E01,BUSHES
S05E11,BUSHES
S06E01,BUSHES
S06E02,BUSHES
S06E05,BUSHES
S06E08,BUSHES
S06E09,BUSHES
S06E12,BUSHES
S07E06,BUSHES
S07E08,BUSHES
S07E09,BUSHES
S07E11,BUSHES
S07E13,BUSHES
S08E02,BUSHES
S08E04,BUSHES
S08E06,BUSHES
S08E09,BUSHES
S09E03,BUSHES
S09E04,BUSHES
S09E05,BUSHES
S09E07,BUSHES
S09E09,BUSHES
S09E11,BUSHES
S09E12,BUSHES
S10E01,BUSHES
S10E06,BUSHES
S10E07,BUSHES
S10E09,BUSHES
S11E02,BUSHES
S11E04,BUSHES
S11E06,BUSHES
S11E07,BUSHES
S11E08,BUSHES
S11E13,BUSHES
S12E02,BUSHES
S12E04,BUSHES
S12E06,BUSHES
S12E07,BUSHES
S12E10,BUSHES
S12E11,BUSHES
S12E12,BUSHES
S13E01,BUSHES
S13E02,BUSHES
S13E04,BUSHES
S13E09,BUSHES
S13E10,BUSHES
S14E01,BUSHES
S14E05,BUSHES
S15E01,BUSHES
S15E10,BUSHES
S16E04,BUSHES
S16E05,BUSHES
S16E11,BUSHES
S18E01,BUSHES
S18E02,BUSHES
S18E06,BUSHES
S18E10,BUSHES
S19E05,BUSHES
S19E08,BUSHES
S19E13,BUSHES
S20E10,BUSHES
S20E13,BUSHES
S21E09,BUSHES
S22E01,BUSHES
S22E02,BUSHES
S22E06,BUSHES
S23E02,BUSHES
S23E05,BUSHES
S23E07,BUSHES
S23E09,BUSHES
S23E13,BUSHES
S24E01,BUSHES
S24E07,BUSHES
S24E11,BUSHES
S25E01,BUSHES
S25E05,BUSHES
S25E06,BUSHES
S25E13,BUSHES
S26E01,BUSHES
S26E04,BUSHES
S26E05,BUSHES
S27E04,BUSHES
S27E10,BUSHES
S28E01,BUSHES
S28E04,BUSHES
S28E08,BUSHES
S28E12,BUSHES
S29E01,BUSHES
S29E02,BUSHES
S29E03,BUSHES
S29E08,BUSHES
S29E11,BUSHES
S29E13,BUSHES
S30E01,BUSHES
S30E04,BUSHES
S30E11,BUSHES
S30E13,BUSHES
S31E02,BUSHES
S31E06,BUSHES
S01E02,CABIN
S01E03,CABIN
S01E06,CABIN
S02E04,CABIN
S03E01,CABIN
S03E04,CABIN
S03E09,CABIN
S04E01,CABIN
S04E04,CABIN
S04E07,CABIN
S06E02,CABIN
S06E09,CABIN
S07E01,CABIN
S07E04,CABIN
S08E02,CABIN
S08E03,CABIN
S08E05,CABIN
S08E07,CABIN
S08E12,CABIN
S08E13,CABIN
S09E05,CABIN
S09E08,CABIN
S10E02,CABIN
S10E11,CABIN
S10E13,CABIN
S11E02,CABIN
S12E01,CABIN
S12E06,CABIN
S13E02,CABIN
S13E04,CABIN
S13E11,CABIN
S15E05,CABIN
S15E07,CABIN
S15E09,CABIN
S15E11,CABIN
S16E02,CABIN
S16E03,CABIN
S17E02,CABIN
S17E05,CABIN
S18E03,CABIN
S19E04,CABIN
S20E10,CABIN
S20E12,CABIN
S21E05,CABIN
S21E07,CABIN
S22E08,CABIN
S22E09,CABIN
S23E01,CABIN
S23E09,CABIN
S23E11,CABIN
S24E03,CABIN
S24E04,CABIN
S24E13,CABIN
S25E11,CABIN
S26E02,CABIN
S26E06,CABIN
S27E06,CABIN
S27E07,CABIN
S27E08,CABIN
S27E11,CABIN
S28E13,CABIN
S29E08,CABIN
S29E11,CABIN
S29E12,CABIN
S30E03,CABIN
S30E08,CABIN
S30E12,CABIN
S31E02,CABIN
S31E05,CABIN
S08E10,CACTUS
S18E12,CACTUS
S21E11,CACTUS
S25E12,CACTUS
S04E04,CIRCLE_FRAME
S08E02,CIRCLE_FRAME
S01E12,CIRRUS
S02E08,CIRRUS
S02E09,CIRRUS
S03E05,CIRRUS
S06E07,CIRRUS
S06E10,CIRRUS
S06E11,CIRRUS
S07E03,CIRRUS
S08E05,CIRRUS
S09E01,CIRRUS
S09E13,CIRRUS
S10E09,CIRRUS
S11E09,CIRRUS
S12E06,CIRRUS
S12E09,CIRRUS
S13E03,CIRRUS
S13E04,CIRRUS
S14E04,CIRRUS
S14E06,CIRRUS
S14E10,CIRRUS
S15E01,CIRRUS
S15E05,CIRRUS
S15E13,CIRRUS
S18E09,CIRRUS
S18E12,CIRRUS
S20E07,CIRRUS
S25E12,CIRRUS
S30E09,CIRRUS
S03E08,CLIFF
S04E05,CLIFF
S09E02,CLIFF
S20E06,CLIFF
S21E08,CLIFF
S22E08,CLIFF
S23E12,CLIFF
S24E08,CLIFF
S01E02,CLOUDS
S01E04,CLOUDS
S01E09,CLOUDS
S01E12,CLOUDS
S02E03,CLOUDS
S02E04,CLOUDS
S02E06,CLOUDS
