id,season,episode,date,title,painting_index,img_src,painting_title,youtube_src
S01E01,1,1,1983-01-11,A Walk in the Woods,282,https://www.twoinchbrush.com/images/painting282.png,A Walk in the Woods,https://www.youtube.com/embed/oh5p5f5_-7A
S01E02,1,2,1983-01-11,Mount McKinley,283,https://www.twoinchbrush.com/images/painting283.png,Mt. McKinley,https://www.youtube.com/embed/RInDWhYceLU
S01E03,1,3,1983-01-18,Ebony Sunset,284,https://www.twoinchbrush.com/images/painting284.png,Ebony Sunset,https://www.youtube.com/embed/UOziR7PoVco
S01E04,1,4,1983-01-25,Winter Mist,285,https://www.twoinchbrush.com/images/painting285.png,Winter Mist,https://www.youtube.com/embed/0pwoixRikn4
S01E05,1,5,1983-02-01,Quiet Stream,286,https://www.twoinchbrush.com/images/painting286.png,Quiet Stream,https://www.youtube.com/embed/DFSIQNjKRfk
S01E06,1,6,1983-02-08,Winter Moon,287,https://www.twoinchbrush.com/images/painting287.png,Winter Moon,https://www.youtube.com/embed/loAzRUzx1wI
S01E07,1,7,1983-02-15,Autumn Mountains,288,https://www.twoinchbrush.com/images/painting288.png,Autumn Mountain,https://www.youtube.com/embed/sDdpc8uisD0
S01E08,1,8,1983-02-22,Peaceful Valley,289,https://www.twoinchbrush.com/images/painting289.png,Peaceful Valley,https://www.youtube.com/embed/kQlFwTOkYzg
S01E09,1,9,1983-03-01,Seascape,290,https://www.twoinchbrush.com/images/painting290.png,Seascape,https://www.youtube.com/embed/QxcS7p1VHyQ
S01E10,1,10,1983-03-08,Mountain Lake,291,https://www.twoinchbrush.com/images/painting291.png,Mountain Lake,https://www.youtube.com/embed/wDnLlywAL5I
S01E11,1,11,1983-03-15,Winter Glow,292,https://www.twoinchbrush.com/images/painting292.png,Winter Glow,https://www.youtube.com/embed/Q03YvknOVe0
S01E12,1,12,1983-03-22,Snowfall,293,https://www.twoinchbrush.com/images/painting293.png,Snow Fall,https://www.youtube.com/embed/4E35-8x_y04
S01E13,1,13,1983-03-29,Final Reflections,294,https://www.twoinchbrush.com/images/painting294.png,Final Reflections,https://www.youtube.com/embed/IEQWfszfRlA
S02E01,2,1,1983-08-31,Meadow Lake,269,https://www.twoinchbrush.com/images/painting269.png,Meadow Lake,https://www.youtube.com/embed/GARWowi0QXI
S02E02,2,2,1983-09-07,Winter Sun,270,https://www.twoinchbrush.com/images/painting270.png,Winter Sun,https://www.youtube.com/embed/VPfYRj4DDco
S02E03,2,3,1983-09-14,Ebony Sea,271,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,https://www.youtube.com/embed/aOJsKNzO3i8
S02E04,2,4,1983-09-21,Shades of Gray,272,https://www.twoinchbrush.com/images/painting272.png,Shades of Grey,https://www.youtube.com/embed/I-ousb8-SD0
S02E05,2,5,1983-09-28,Autumn Splendor,273,https://www.twoinchbrush.com/images/painting273.png,Autumn Splendor,https://www.youtube.com/embed/rTTWw5Gd79I
S02E06,2,6,1983-10-05,Black River,274,https://www.twoinchbrush.com/images/painting274.png,Black River,https://www.youtube.com/embed/6O4sfJd8G_M
S02E07,2,7,1983-10-12,Brown Mountain,275,https://www.twoinchbrush.com/images/painting275.png,Brown Mountain,https://www.youtube.com/embed/Vx6v47gHBWM
S02E08,2,8,1983-10-19,Reflections,276,https://www.twoinchbrush.com/images/painting276.png,Reflections,https://www.youtube.com/embed/0FYfo94qefg
S02E09,2,9,1983-10-26,Black & White Seascape,277,https://www.twoinchbrush.com/images/painting277.png,Black and White Seascape,https://www.youtube.com/embed/PMDyPrE0puo
S02E10,2,10,1983-11-02,Lazy River,278,https://www.twoinchbrush.com/images/painting278.png,Lazy River,https://www.youtube.com/embed/BW2wKKFvH1g
S02E11,2,11,1983-11-09,Black Waterfall,279,https://www.twoinchbrush.com/images/painting279.png,Black Waterfall,https://www.youtube.com/embed/GzSqjyQUPZQ
S02E12,2,12,1983-11-16,Mountain Waterfall,280,https://www.twoinchbrush.com/images/painting280.png,Mountain Waterfall,https://www.youtube.com/embed/9jIt95PCFAA
S02E13,2,13,1983-11-23,Final Grace,281,https://www.twoinchbrush.com/images/painting281.png,Final Grace,https://www.youtube.com/embed/miJ19Kz_i3Y
S03E01,3,1,1984-01-04,Mountain Retreat,256,https://www.twoinchbrush.com/images/painting256.png,Mountain Retreat,https://www.youtube.com/embed/hoimk4s8JoQ
S03E02,3,2,1984-01-11,Blue Moon,257,https://www.twoinchbrush.com/images/painting257.png,Blue Moon,https://www.youtube.com/embed/loit61vLUMc
S03E03,3,3,1984-01-18,Bubbling Stream,258,https://www.twoinchbrush.com/images/painting258.png,Bubbling Stream,https://www.youtube.com/embed/fuFalEXVN0k
S03E04,3,4,1984-01-25,Winter Night,259,https://www.twoinchbrush.com/images/painting259.png,Winter Night,https://www.youtube.com/embed/8ysFkNYwhAE
S03E05,3,5,1984-02-01,Distant Hills,260,https://www.twoinchbrush.com/images/painting260.png,Distant Hills,https://www.youtube.com/embed/8Zge88tVwjE
S03E06,3,6,1984-02-08,Covered Bridge,261,https://www.twoinchbrush.com/images/painting261.png,Covered Bridge,https://www.youtube.com/embed/OHSm8kLE7js
S03E07,3,7,1984-02-15,Quiet Inlet,262,https://www.twoinchbrush.com/images/painting262.png,Quiet Inlet,https://www.youtube.com/embed/9N5IWKzYIyU
S03E08,3,8,1984-02-22,Night Light,263,https://www.twoinchbrush.com/images/painting263.png,Night Light,https://www.youtube.com/embed/l141Y0x8om0
S03E09,3,9,1984-03-01,The Old Mill,264,https://www.twoinchbrush.com/images/painting264.png,The Old Mill,https://www.youtube.com/embed/OFKFUJ9eDNs
S03E10,3,10,1984-03-08,Campfire,265,https://www.twoinchbrush.com/images/painting265.png,Campfire,https://www.youtube.com/embed/L5bXkI0-pEg
S03E11,3,11,1984-03-15,Rustic Barn,266,https://www.twoinchbrush.com/images/painting266.png,Rustic Barn,https://www.youtube.com/embed/WJJwrnFhUUg
S03E12,3,12,1984-03-22,Hidden Lake,267,https://www.twoinchbrush.com/images/painting267.png,Hidden Lake,https://www.youtube.com/embed/P_DaqkFbnac
S03E13,3,13,1984-03-29,Peaceful Waters,268,https://www.twoinchbrush.com/images/painting268.png,Peaceful Waters,https://www.youtube.com/embed/Z0vtjRLqXcQ
S04E01,4,1,1984-09-05,Purple Splendor,243,https://www.twoinchbrush.com/images/painting243.png,Purple Splendor,https://www.youtube.com/embed/hP4GfMgsNVE
S04E02,4,2,1984-09-12,Tranquil Valley,244,https://www.twoinchbrush.com/images/painting244.png,Tranquil Valley,https://www.youtube.com/embed/PbchoOWWCZs
S04E03,4,3,1984-09-19,Majestic Mountains,245,https://www.twoinchbrush.com/images/painting245.png,Majestic Mountains,https://www.youtube.com/embed/NcVeRlPu_5w
S04E04,4,4,1984-09-26,Winter Sawscape,246,https://www.twoinchbrush.com/images/painting246.png,Winter Sawscape,https://www.youtube.com/embed/lmKAwKrONmE
S04E05,4,5,1984-10-03,Evening Seascape,247,https://www.twoinchbrush.com/images/painting247.png,Evening Seascape,https://www.youtube.com/embed/y5k4GXw_-yI
S04E06,4,6,1984-10-10,Warm Summer Day,248,https://www.twoinchbrush.com/images/painting248.png,Warm Summer Day,https://www.youtube.com/embed/GBN9AIw3Ao4
S04E07,4,7,1984-10-17,Cabin in the Woods,249,https://www.twoinchbrush.com/images/painting249.png,Cabin in the Woods,https://www.youtube.com/embed/81QKellPA70
S04E08,4,8,1984-10-24,Wetlands,250,https://www.twoinchbrush.com/images/painting250.png,Wetlands,https://www.youtube.com/embed/2FpVyGanPwM
S04E09,4,9,1984-10-31,Cool Waters,251,https://www.twoinchbrush.com/images/painting251.png,Cool Waters,https://www.youtube.com/embed/tJRvBcqQd5A
S04E10,4,10,1984-11-07,Quiet Woods,252,https://www.twoinchbrush.com/images/painting252.png,Quiet Woods,https://www.youtube.com/embed/wIZX57I4aDs
S04E11,4,11,1984-11-14,Northwest Majesty,253,https://www.twoinchbrush.com/images/painting253.png,Northwest Majesty,https://www.youtube.com/embed/9DU6bunvD_g
S04E12,4,12,1984-11-21,Autumn Days,254,https://www.twoinchbrush.com/images/painting254.png,Autumn Days,https://www.youtube.com/embed/VAdMkf-AAPM
S04E13,4,13,1984-11-28,Mountain Challenge,255,https://www.twoinchbrush.com/images/painting255.png,Mountain Challenge,https://www.youtube.com/embed/o2cjLA_wgIk
S05E01,5,1,1985-01-02,Mountain Waterfall,230,https://www.twoinchbrush.com/images/painting230.png,Mountain Waterfall,https://www.youtube.com/embed/DqhzxdkdQS0
S05E02,5,2,1985-01-09,Twilight Meadow,231,https://www.twoinchbrush.com/images/painting231.png,Twilight Meadow,https://www.youtube.com/embed/6evqNlOO7Bw
S05E03,5,3,1985-01-16,Mountain Blossoms,232,https://www.twoinchbrush.com/images/painting232.png,Mountain Blossoms,https://www.youtube.com/embed/UVhhStJAJZc
S05E04,5,4,1985-01-23,Winter Stillness,233,https://www.twoinchbrush.com/images/painting233.png,Winter Stillness,https://www.youtube.com/embed/qg9c1SqdRko
S05E05,5,5,1985-01-30,Quiet Pond,234,https://www.twoinchbrush.com/images/painting234.png,Quiet Pond,https://www.youtube.com/embed/aiK9xOIJtV8
S05E06,5,6,1985-02-06,Ocean Sunrise,235,https://www.twoinchbrush.com/images/painting235.png,Ocean Sunrise,https://www.youtube.com/embed/u0Bz6TNUK1Q
S05E07,5,7,1985-02-13,Bubbling Brook,236,https://www.twoinchbrush.com/images/painting236.png,Bubbling Brook,https://www.youtube.com/embed/LiKCzeqn-kg
S05E08,5,8,1985-02-20,Arizona Splendor,237,https://www.twoinchbrush.com/images/painting237.png,Arizona Splendor,https://www.youtube.com/embed/spFwCh2616s
S05E09,5,9,1985-02-27,Anatomy of a Wave,238,https://www.twoinchbrush.com/images/painting238.png,Anatomy of a Wave,https://www.youtube.com/embed/DFQlu6eqrBo
S05E10,5,10,1985-03-06,The Windmill,239,https://www.twoinchbrush.com/images/painting239.png,The Windmill,https://www.youtube.com/embed/xj8xsTSkbUk
S05E11,5,11,1985-03-13,Autumn Glory,240,https://www.twoinchbrush.com/images/painting240.png,Autumn Glory,https://www.youtube.com/embed/yTzlm_t0RmY
S05E12,5,12,1985-03-20,Indian Girl,241,https://www.twoinchbrush.com/images/painting241.png,Indian Girl,https://www.youtube.com/embed/2uXMx8Kjs8I
