id,name
APPLE_FRAME,Apple Frame
AURORA_BOREALIS,Aurora Borealis
BARN,Barn
BEACH,Beach
BOAT,Boat
BRIDGE,Bridge
BUILDING,Building
BUSHES,Bushes
CABIN,Cabin
CACTUS,Cactus
CIRCLE_FRAME,Circle Frame
CIRRUS,Cirrus
CLIFF,Cliff
CLOUDS,Clouds
CONIFER,Conifer
CUMULUS,Cumulus
DECIDUOUS,Deciduous
DIANE_ANDRE,Diane Andre
DOCK,Dock
DOUBLE_OVAL_FRAME,Double Oval Frame
FARM,Farm
FENCE,Fence
FIRE,Fire
FLORIDA_FRAME,Florida Frame
FLOWERS,Flowers
FOG,Fog
FRAMED,Framed
GRASS,Grass
GUEST,Guest
HALF_CIRCLE_FRAME,Half Circle Frame
HALF_OVAL_FRAME,Half Oval Frame
HILLS,Hills
LAKE,Lake
LIGHTHOUSE,Lighthouse
MILL,Mill
MOON,Moon
MOUNTAIN,Mountain
MOUNTAINS,Mountains
NIGHT,Night
OCEAN,Ocean
OVAL_FRAME,Oval Frame
PALM_TREES,Palm Trees
PATH,Path
PERSON,Person
PORTRAIT,Portrait
RECTANGLE_3D_FRAME,Rectangle 3D Frame
RECTANGULAR_FRAME,Rectangular Frame
RIVER,River
ROCKS,Rocks
SEASHELL_FRAME,Seashell Frame
SNOW,Snow
SNOWY_MOUNTAIN,Snowy Mountain
SPLIT_FRAME,Split Frame
STEVE_ROSS,Steve Ross
STRUCTURE,Structure
SUN,Sun
TOMB_FRAME,Tomb Frame
TREE,Tree
TREES,Trees
TRIPLE_FRAME,Triple Frame
WATERFALL,Waterfall
WAVES,Waves
WINDMILL,Windmill
WINDOW_FRAME,Window Frame
WINTER,Winter
WOOD_FRAMED,Wood Framed
